"label","text"
0,"I can't donate plasma "
4,"@Ices24 oh and how do i put my Twitter on my blog?  heeeehe! my twitter tutor. hahaha"
0,"my brain's about to explode  i need a break!"
4,"more followers please "
0,"@spookygirl what a great project!!! Wish I could have done that with DD1. She's too old now. "
4,"Thank you to @Gelsomino @Highena @DJRoniB @tubilino @BigAssBadgerBeats @jTerrell @sansotto  ? http://blip.fm/~7dfed"
4,"lunch with aunt&amp;cousin; then family time; then crazy homework all weekend! i can not WAIT til friday! school will be overrr! "
4,"@PDGenius For F**k Sake. I didn't know ye were on twitter for so long. Should of been following ye ages ago! "
4,"New video today. I wrote lyrics for Metallica!!! "
4,"&quot;If everything is under control, you are going too slow.&quot;-Mario Andretti "
4,"@drewryanscott lol probly because it keeps us awake "
4,"Finished reading Way of The Peaceful Warrior "
0,"@leezy_3000 me too "
4,"Yay I got a PT on my Scholar. "
4,"@honorsociety Sweettnesss!  this summers gunna be awesom. no duh "
0,"It's nice to know that my bday(today) is the same as national egg day "
0,"@chchchinatown @matertenebrarum none of the ones around usc sell tamales.  after football games they do sell bacon wrapped hotdogs though."
0,"at work, but wanna be in bed "
4,"just got back from a walk with my mum to my nans n aunties my legs are aking   That my exercise for the day haha Jokes x"
4,"@githafashion,hi it's me jozelle,the owner of delena mania fc.hihi "
0,"@PeppersGhost Sorry. I'm not as cool as @shwood. "
0,"I don't want to go to class tomorrow.  don't make me."
4,"I'm so dirty tday   can't wait for fiesta "
4,"@Xanthetwirls You're a sick lady. I like that in a person. "
0,"I hate driveby meetings.. now I have to go to a real one and miss my morning breakfast.. guess it'll be lunch "
0,"Crap stupid Japan's beating Australia 1-0 in the soccer "
0,"i'm pooped.  there's nobody to cheer me up. CURSES."
4,"Out spoiling myself.  im really happy"
0,"@bisante how come you can't ?  lol"
0,"@traveltothesky Oh no!!!    I hope you feel better soon."
0,"oh bugger I still have raffle tickets to do  thts my next few hours sorted ....."
4,"@iiKrisii indeed, Bug  We'll have a blast! "
0,"@twitter will twitter be down!? noooooo "
0,"@levyelsa has a horrible voice tday  she's sick... I F***ING HATE MONDAYS  peace and love LOL :p i'm sooo freakiin weiiird!!! lol"
0,"crustyz was rad. double back filps go thrown down yo! but its the last tour for shuie "
4,"Eating  farmgirl@&lt;3"
0,"has just been molested by an amourous swarm of greenfly! i feel violated! "
0,"@_Trystianity_  Throat's worse  Arent u supposed to recommend tea or OJ rather than liquor? heh"
0,"@imbirdgirl it's neither "
4,"@CHRIS_Daughtry That was one long photoshoot! Now, how about that singing lesson? "
0,"@Mrs_Trace_Cyrus im okay sore belly  , yeah ive done my hair and make-up but still in my jammies to lol  xxx been uptoo much ?"
0,"I love to be honest so on that note I hate coming to my job..... In other words I hate my job........ "
0,"is back and exhausted! don't want to go down the hill but i have to "
4,"@vanessaparlo I should learn it too. "
4,"@marianpatricia yup  i can do it"
4,"watching MTV movie awards, like the rest of the world apparently "
4,"Enjoying my last day of freedom. Back to the daily grind tomorrow... Today is all about sunshine, and yardwork!!! "
0,"Quote from a Dude last night I was on the Phone with Dale I don't want to be with you like that I just want to Fuck you  Sad isn't it"
0,"@WDWHAPPY "
0,"Just kind of wondering when the weather is finally going to get nice!? It's june and I'm fully covered in clothing "
4,"Twilight was so good  and new moon is amazing so far. Edward is so breath taking... I need to find myself a vampire."
0,"Looks like the sun is not set to last  Good job we threw the prawns on the barbie last night!  DH tonight, MX with OC tomorrow and Sat."
4,"@jigordon I never tried GH yet, way too uncoordinated to do it "
4,"@ddlovato oh my gosh me too! "
4,"On the waaaaay! "
0,"man am i hungry... its raining so no outside for me "
4,"@jakeashley cant wait till ur may 22 show!!  u better stop by and hang out in newcastle  xx"
4,"Created a look on looklet.com. http://looklet.com/look/97084 my first looklet "
4,"@abhisheknagar quite similar to what happened with GW Bush in Iraq "
0,"Up and about finally, going to the gym yaaaay  lol"
4,"Going to get some shut eye.. Getting quite tired.. Although it's quite early for me 12:20 at night .. Night night twitterville  xoxo"
4,"I do believe it's bed time. Knighty knight. "
